element,species,degeneracy,energy_ev
Ac,1,4,0
Ac,1,6,0.28
Ac,1,4,1.14
Ac,1,6,1.22
Ac,1,8,1.35
Ac,1,10,1.5
Ac,1,4,1.7
Ac,1,6,1.85
Ac,1,8,2.19
Ac,1,2,2.13
Ac,1,4,2.36
Ac,1,6,2.63
Ac,1,8,2.91
Ac,1,4,2.2
Ac,1,6,2.23
Ac,1,2,2.78
Ac,1,4,2.83
Ac,1,6,2.96
Ac,1,6,2.97
Ac,1,8,3.1
Ac,1,2,3.19
Ac,1,4,3.35
Ac,1,4,3.23
Ac,1,6,3.29
Ac,1,6,3.33
Ac,1,8,3.54
Ac,1,4,3.77
Ac,1,6,3.9
Ac,1,8,3.99
Ac,1,10,4.08
Ac,1,12,4.14
Ac,1,4,3.94
Ac,1,6,4.03
Ac,1,4,4.08
Ac,1,4,4.18
Ac,1,8,4.19
Ac,1,8,4.26
Ac,1,6,4.3
Ac,1,10,4.31
Ac,1,10,4.45
Ac,2,1,0
Ac,2,3,0.59
Ac,2,5,0.65
Ac,2,7,0.92
Ac,2,5,1.13
Ac,2,5,1.64
Ac,2,7,1.85
Ac,2,9,2.08
Ac,2,1,2.2
Ac,2,3,2.36
Ac,2,5,2.75
Ac,2,5,2.38
Ac,2,9,2.58
Ac,2,1,2.6
Ac,2,3,2.75
Ac,2,5,3.95
Ac,2,5,3.28
Ac,2,7,3.87
Ac,2,9,4.85
Ac,2,5,3.5
Ac,2,7,3.7
Ac,2,9,4.09
Ac,2,3,3.63
Ac,2,5,4.13
Ac,2,7,4.58
Ac,2,3,4.14
Ac,2,5,4.39
Ac,2,7,4.48
Ac,2,1,4.56
Ac,2,3,4.57
Ac,2,5,4.76
Ac,2,9,4.94
Ac,2,11,5.07
Ac,2,5,5.16
Ac,2,7,5.37
Ac,2,9,5.58
Ac,2,9,5.16
Ac,2,7,5.2
Ac,2,3,5.48
Ac,2,5,5.54
Ac,2,7,5.68
Ac,2,9,5.88
Ac,2,11,6.09
Ac,2,3,6.02
Ac,2,5,6.13
Ac,2,7,6.21
Ac,2,1,6.17
Ac,2,3,6.23
Ac,2,5,6.36
Ac,2,3,6.41
Ac,2,7,6.6
Ac,2,1,6.62
Ac,2,5,6.77
Ac,2,7,6.78
Ac,2,3,6.96
Ac,2,9,7.15
Ac,2,7,7.18
Ac,2,7,7.32
Ac,2,5,7.42
Ac,2,3,7.45
Ac,2,9,7.43
Ac,2,7,7.73
Ac,2,9,7.79
Ac,2,5,7.88
Ac,2,11,8.11
Ac,3,2,0
Ac,3,4,0.1
Ac,3,6,0.52
Ac,3,6,2.91
Ac,3,8,3.23
Ac,3,2,3.65
Ac,3,4,4.72
Ag,1,2,0
Ag,1,2,3.66
Ag,1,4,3.78
Ag,1,6,3.75
Ag,1,4,4.3
Ag,1,2,5.28
Ag,1,2,5.99
Ag,1,4,6.01
Ag,1,4,6.04
Ag,1,6,6.05
Ag,1,2,6.43
Ag,1,2,6.7
Ag,1,4,6.71
Ag,1,4,6.72
Ag,1,6,6.72
Ag,1,6,6.72
Ag,1,8,6.72
Ag,1,2,6.89
Ag,1,6,6.97
Ag,1,4,7.25
Ag,1,2,7.51
Ag,1,2,7.02
Ag,1,4,7.03
Ag,1,6,7.03
Ag,1,8,7.03
Ag,1,4,7.03
Ag,1,6,7.03
Ag,1,18,7.03
Ag,1,2,7.12
Ag,1,2,7.19
Ag,1,4,7.19
Ag,1,6,7.2
Ag,1,8,7.2
Ag,1,4,7.2
Ag,1,6,7.2
Ag,1,8,7.2
Ag,1,10,7.2
Ag,1,22,7.2
Ag,1,2,7.25
Ag,1,8,7.29
Ag,1,10,7.3
Ag,1,6,7.35
Ag,1,4,7.59
Ag,1,2,7.29
Ag,1,4,7.3
Ag,1,6,7.3
Ag,1,8,7.3
Ag,1,4,7.3
Ag,1,6,7.3
Ag,1,18,7.3
Ag,1,2,7.33
Ag,1,4,7.36
Ag,1,6,7.36
Ag,1,2,7.39
Ag,1,4,7.41
Ag,1,6,7.41
Ag,1,10,7.44
Ag,1,8,7.66
Ag,1,6,7.71
Ag,1,2,8.01
Ag,1,4,8.23
Ag,1,4,7.88
Ag,1,6,8.3
Ag,1,6,7.97
Ag,1,8,8.14
Ag,1,4,8.18
Ag,1,2,8.19
Ag,1,4,8.95
Ag,1,2,9.47
Ag,1,8,8.97
Ag,1,6,9.52
Ag,1,6,9.12
Ag,1,4,9.66
Ag,1,8,9.85
Ag,1,6,9.94
Ag,1,4,10.08
Ag,1,2,10.41
Ag,1,6,10.18
Ag,1,4,10.49
Ag,1,6,10.72
Ag,1,4,10.84
Ag,1,4,10.77
Ag,1,10,10.77
Ag,1,8,11
Ag,1,4,10.78
Ag,1,12,10.8
Ag,1,10,10.98
Ag,1,6,10.8
Ag,1,4,11.01
Ag,1,6,10.81
Ag,1,2,10.97
Ag,1,4,10.98
Ag,1,8,10.81
Ag,1,6,11.02
Ag,1,8,10.83
Ag,1,6,11
Ag,1,4,11.36
Ag,1,10,10.83
Ag,1,8,11.01
Ag,1,6,11.39
Ag,1,8,11.2
Ag,1,6,11.28
Ag,1,6,11.43
Ag,1,4,11.66
Ag,2,1,0
Ag,2,7,4.86
Ag,2,5,5.05
Ag,2,3,5.42
Ag,2,5,5.71
Ag,2,5,9.94
Ag,2,3,10.37
Ag,2,7,10.19
Ag,2,9,10.37
Ag,2,5,10.56
Ag,2,7,10.72
Ag,2,1,10.68
Ag,2,3,11.2
Ag,2,5,10.77
Ag,2,7,11.05
Ag,2,3,11.15
Ag,2,5,11.27
Ag,2,9,11.65
Ag,2,7,12.15
Ag,2,5,12.35
Ag,2,5,13.05
Ag,2,3,13.51
Ag,2,1,13.53
Ag,2,5,13.73
Ag,2,9,14.08
Ag,2,7,14.94
Ag,2,5,14.99
Ag,2,3,15.51
Ag,2,5,15.55
Ag,2,3,15.57
Ag,2,1,15.94
Ag,2,11,15.7
Ag,2,9,15.71
Ag,2,5,15.72
Ag,2,3,15.72
Ag,2,7,15.77
Ag,2,5,15.81
Ag,2,7,15.81
Ag,2,9,15.82
Ag,2,9,15.87
Ag,2,7,16.21
Ag,2,5,16.51
Ag,2,3,16.71
Ag,2,3,16.21
Ag,2,1,16.67
Ag,2,7,16.27
Ag,2,9,16.31
Ag,2,11,16.3
Ag,2,9,16.45
Ag,2,7,16.66
Ag,2,5,16.79
Ag,2,3,16.3
Ag,2,5,16.34
Ag,2,5,16.31
Ag,2,3,16.47
Ag,2,7,16.37
Ag,2,9,16.42
Ag,2,5,16.39
Ag,2,7,16.39
Ag,2,5,16.48
Ag,2,7,16.49
Ag,2,9,16.88
Ag,2,7,17.04
Ag,2,1,16.88
Ag,2,3,16.97
Ag,2,5,16.93
Ag,2,7,17.01
Ag,2,3,17.01
Ag,2,5,17.04
Ag,2,7,17.19
Ag,2,5,17.26
Ag,2,3,17.65
Ag,2,7,17.43
Ag,2,5,17.48
Ag,2,3,17.48
Ag,2,7,17.5
Ag,2,7,17.6
Ag,2,5,17.82
Ag,2,7,17.91
Ag,2,5,17.93
Ag,2,3,17.98
Ag,2,5,17.98
Ag,2,13,18
Ag,2,11,18
Ag,2,5,18
Ag,2,3,18.01
Ag,2,5,18.02
Ag,2,11,18.03
Ag,2,9,18.04
Ag,2,7,18.03
Ag,2,9,18.03
Ag,2,7,18.05
Ag,2,5,18.12
Ag,2,3,18.48
Ag,2,5,18.5
Ag,2,7,19.23
Ag,2,5,19.24
Ag,2,3,19.8
Ag,2,5,19.81
Ag,3,6,0
Ag,3,4,0.57
Ag,3,10,7.84
Ag,3,8,8.15
Ag,3,6,8.45
Ag,3,4,8.6
Ag,3,8,8.89
Ag,3,6,9.17
Ag,3,6,9.47
Ag,3,4,9.6
Ag,3,2,9.78
Ag,3,4,9.93
Ag,3,6,10.2
Ag,3,4,10.56
Ag,3,2,10.6
Ag,3,10,10.61
Ag,3,8,10.63
Ag,3,4,13.82
Ag,3,8,14.31
Ag,3,6,14.77
Ag,3,4,15.13
Ag,3,2,15.3
Ag,3,10,14.62
Ag,3,12,14.92
Ag,3,8,15.01
Ag,3,6,15.19
Ag,3,10,15.16
Ag,3,8,15.33
Ag,3,4,15.36
Ag,3,6,15.65
Ag,3,6,15.51
Ag,3,4,15.85
Ag,3,10,15.53
Ag,3,8,15.84
Ag,3,8,15.71
Ag,3,6,15.97
Ag,3,2,16.01
Ag,3,4,16.11
Ag,3,6,16.14
Ag,3,6,16.35
Ag,3,8,16.57
Ag,3,2,16.55
Ag,3,4,16.73
Ag,3,4,16.78
Ag,3,6,16.83
Ag,3,2,16.82
Ag,3,4,16.96
Ag,3,6,16.98
Ag,3,8,16.98
Ag,3,10,16.96
Ag,3,12,17.35
Ag,3,6,17.21
Ag,3,4,17.27
Ag,3,4,17.37
Ag,3,2,17.83
Ag,3,8,17.47
Ag,3,6,17.63
Ag,3,2,17.48
Ag,3,4,17.59
Ag,3,8,18.05
Ag,3,10,18.11
Ag,3,2,20.48
Ag,3,4,20.9
Al,1,2,0
Al,1,4,0.01
Al,1,2,3.14
Al,1,2,3.6
Al,1,4,3.6
Al,1,6,3.61
Al,1,4,4.02
Al,1,6,4.02
Al,1,2,4.09
Al,1,4,4.09
Al,1,2,4.67
Al,1,4,4.83
Al,1,6,4.83
Al,1,2,4.99
Al,1,4,4.99
Al,1,6,5.12
Al,1,8,5.12
Al,1,2,5.23
Al,1,4,5.24
Al,1,6,5.24
Al,1,2,5.37
Al,1,4,5.37
Al,1,6,5.43
Al,1,8,5.43
Al,1,10,5.44
Al,1,8,5.44
Al,1,4,5.48
Al,1,6,5.48
Al,1,2,5.49
Al,1,2,5.57
Al,1,4,5.57
Al,1,8,5.6
Al,1,6,5.6
Al,1,8,5.61
Al,1,10,5.61
Al,1,4,5.62
Al,1,6,5.62
Al,1,2,5.64
Al,1,8,5.71
Al,1,6,5.71
Al,1,10,5.71
Al,1,8,5.71
Al,1,12,5.71
Al,1,10,5.71
Al,1,4,5.71
Al,1,6,5.71
Al,1,2,5.73
Al,1,6,5.77
Al,1,8,5.77
Al,1,4,5.78
Al,1,6,5.78
Al,1,2,5.79
Al,1,8,5.82
Al,1,6,5.82
Al,1,4,5.82
Al,1,6,5.82
Al,1,2,5.83
Al,1,8,5.85
Al,1,6,5.85
Al,1,4,5.85
Al,1,6,5.85
Al,1,2,5.86
